Order_ID,Order_Date,Category,Sub_Category,Sales,Profit,Quantity,Region,Customer_Segment,Year,Month,Quarter,DayOfWeek,MonthYear,Profit_Margin
ORD_1000,2022-01-21,Technology,Copiers,1901.92,443.14,1.0,North,Corporate,2022,1,1,Friday,2022-01,23.3
ORD_1001,2023-10-26,Technology,Accessories,125.59,33.47,4.0,North,Corporate,2023,10,4,Thursday,2023-10,26.65
ORD_1002,2022-07-11,Furniture,Tables,1446.78,411.81,2.0,South,Consumer,2022,7,3,Monday,2022-07,28.46
ORD_1003,2023-07-15,Furniture,Furnishings,1227.19,63.53,1.0,North,Home Office,2023,7,3,Saturday,2023-07,5.18
ORD_1004,2022-07-09,Technology,Computers,102.86,30.18,3.0,West,Home Office,2022,7,3,Saturday,2022-07,29.34
ORD_1005,2022-05-11,Office Supplies,Storage,771.1,228.1,1.0,East,Home Office,2022,5,2,Wednesday,2022-05,29.58
ORD_1006,2022-11-12,Technology,Phones,906.49,48.33,1.0,West,Corporate,2022,11,4,Saturday,2022-11,5.33
ORD_1007,2023-01-02,Office Supplies,Paper,41.77,4.5,4.0,South,Home Office,2023,1,1,Monday,2023-01,10.77
ORD_1008,2023-07-16,Furniture,Furnishings,78.43,21.75,4.0,South,Corporate,2023,7,3,Sunday,2023-07,27.73
ORD_1009,2023-12-31,Office Supplies,Binders,1139.72,65.91,2.0,South,Corporate,2023,12,4,Sunday,2023-12,5.78
ORD_1010,2023-04-07,Office Supplies,Art,1199.82,336.51,4.0,North,Consumer,2023,4,2,Friday,2023-04,28.05
ORD_1011,2022-08-05,Office Supplies,Labels,783.47,92.32,1.0,South,Consumer,2022,8,3,Friday,2022-08,11.78
ORD_1012,2023-06-05,Furniture,Chairs,1606.37,110.26,3.0,South,Consumer,2023,6,2,Monday,2023-06,6.86
ORD_1013,2022-10-16,Technology,Accessories,405.7,92.43,3.0,North,Consumer,2022,10,4,Sunday,2022-10,22.78
ORD_1014,2022-02-02,Office Supplies,Binders,240.58,63.94,4.0,South,Home Office,2022,2,1,Wednesday,2022-02,26.58
ORD_1015,2023-12-27,Technology,Computers,657.11,152.71,4.0,North,Home Office,2023,12,4,Wednesday,2023-12,23.24
ORD_1016,2022-01-05,Furniture,Bookcases,247.99,56.62,1.0,West,Home Office,2022,1,1,Wednesday,2022-01,22.83
ORD_1017,2023-07-08,Technology,Computers,992.65,179.36,3.0,South,Consumer,2023,7,3,Saturday,2023-07,18.07
ORD_1018,2022-04-06,Technology,Accessories,1792.57,302.66,1.0,South,Corporate,2022,4,2,Wednesday,2022-04,16.88
ORD_1019,2022-02-05,Furniture,Bookcases,1212.79,224.32,1.0,East,Home Office,2022,2,1,Saturday,2022-02,18.5
ORD_1020,2023-07-28,Technology,Accessories,330.83,93.43,1.0,East,Consumer,2023,7,3,Friday,2023-07,28.24
ORD_1021,2022-11-27,Office Supplies,Art,1609.31,155.53,2.0,South,Corporate,2022,11,4,Sunday,2022-11,9.66
ORD_1022,2023-01-12,Technology,Copiers,719.03,198.96,1.0,North,Corporate,2023,1,1,Thursday,2023-01,27.67
ORD_1023,2023-04-01,Furniture,Furnishings,711.61,89.8,2.0,North,Consumer,2023,4,2,Saturday,2023-04,12.62
ORD_1024,2023-01-09,Office Supplies,Labels,1387.95,162.88,4.0,South,Consumer,2023,1,1,Monday,2023-01,11.74
ORD_1025,2023-01-21,Furniture,Tables,1943.85,524.1475,2.0,North,Consumer,2023,1,1,Saturday,2023-01,26.96
ORD_1026,2023-10-04,Furniture,Chairs,1995.5,232.87,2.0,South,Corporate,2023,10,4,Wednesday,2023-10,11.67
ORD_1027,2022-05-10,Technology,Phones,696.69,145.32,2.0,East,Corporate,2022,5,2,Tuesday,2022-05,20.86
ORD_1028,2022-10-21,Office Supplies,Art,170.9,24.34,1.0,South,Consumer,2022,10,4,Friday,2022-10,14.24
ORD_1029,2022-05-04,Office Supplies,Storage,1634.7,408.0,1.0,North,Corporate,2022,5,2,Wednesday,2022-05,24.96
ORD_1030,2022-12-12,Furniture,Bookcases,1185.88,260.17,3.0,North,Home Office,2022,12,4,Monday,2022-12,21.94
ORD_1031,2023-10-02,Technology,Copiers,1293.89,121.1,1.0,North,Corporate,2023,10,4,Monday,2023-10,9.36
ORD_1032,2023-02-19,Furniture,Bookcases,688.72,53.97,3.0,West,Corporate,2023,2,1,Sunday,2023-02,7.84
ORD_1033,2023-07-26,Technology,Accessories,1323.37,336.54,1.0,East,Corporate,2023,7,3,Wednesday,2023-07,25.43
ORD_1034,2022-01-09,Furniture,Furnishings,1931.18,366.1,4.0,East,Home Office,2022,1,1,Sunday,2022-01,18.96
ORD_1035,2022-04-30,Technology,Copiers,1694.86,447.58,2.0,East,Home Office,2022,4,2,Saturday,2022-04,26.41
ORD_1036,2022-08-15,Furniture,Furnishings,1572.83,341.69,2.0,South,Corporate,2022,8,3,Monday,2022-08,21.72
ORD_1037,2022-12-04,Furniture,Bookcases,1947.59,235.62,2.0,West,Corporate,2022,12,4,Sunday,2022-12,12.1
ORD_1038,2023-02-02,Technology,Copiers,1988.97,186.93,4.0,East,Home Office,2023,2,1,Thursday,2023-02,9.4
ORD_1039,2023-04-15,Technology,Phones,623.04,115.66,3.0,North,Corporate,2023,4,2,Saturday,2023-04,18.56
ORD_1040,2022-08-14,Office Supplies,Labels,978.62,270.61,3.0,East,Corporate,2022,8,3,Sunday,2022-08,27.65
ORD_1041,2023-10-21,Furniture,Furnishings,1341.16,356.8,4.0,South,Home Office,2023,10,4,Saturday,2023-10,26.6
ORD_1042,2022-02-15,Furniture,Furnishings,362.45,103.34,1.0,East,Corporate,2022,2,1,Tuesday,2022-02,28.51
ORD_1043,2022-10-29,Technology,Copiers,40.76,11.5,1.0,East,Home Office,2022,10,4,Saturday,2022-10,28.21
ORD_1044,2022-06-10,Technology,Copiers,1707.49,211.07,1.0,South,Home Office,2022,6,2,Friday,2022-06,12.36
ORD_1045,2023-11-17,Office Supplies,Paper,795.44,207.65,3.0,South,Corporate,2023,11,4,Friday,2023-11,26.11
ORD_1046,2023-01-21,Technology,Computers,723.71,82.17,2.0,West,Consumer,2023,1,1,Saturday,2023-01,11.35
ORD_1047,2023-11-13,Furniture,Chairs,1407.94,196.93,1.0,North,Corporate,2023,11,4,Monday,2023-11,13.99
ORD_1048,2022-02-05,Technology,Computers,1735.47,483.0,2.0,East,Consumer,2022,2,1,Saturday,2022-02,27.83
ORD_1049,2023-12-28,Office Supplies,Art,1774.37,100.97,2.0,North,Corporate,2023,12,4,Thursday,2023-12,5.69
ORD_1050,2022-11-10,Technology,Phones,318.53,94.11,2.0,West,Corporate,2022,11,4,Thursday,2022-11,29.55
ORD_1051,2023-03-20,Furniture,Furnishings,87.28,10.98,3.0,East,Consumer,2023,3,1,Monday,2023-03,12.58
ORD_1052,2022-12-16,Furniture,Furnishings,439.48,90.41,4.0,North,Home Office,2022,12,4,Friday,2022-12,20.57
ORD_1053,2022-04-16,Technology,Copiers,1454.92,427.69,4.0,West,Home Office,2022,4,2,Saturday,2022-04,29.4
ORD_1054,2022-12-12,Furniture,Furnishings,548.96,87.69,3.0,East,Corporate,2022,12,4,Monday,2022-12,15.97
ORD_1055,2023-10-03,Furniture,Tables,1673.6,374.88,1.0,West,Corporate,2023,10,4,Tuesday,2023-10,22.4
ORD_1056,2023-08-24,Furniture,Bookcases,507.98,95.15,4.0,South,Consumer,2023,8,3,Thursday,2023-08,18.73
ORD_1057,2023-08-04,Furniture,Chairs,1910.18,447.89,3.0,West,Consumer,2023,8,3,Friday,2023-08,23.45
ORD_1058,2022-03-27,Technology,Accessories,502.98,69.91,1.0,East,Consumer,2022,3,1,Sunday,2022-03,13.9
ORD_1059,2023-03-29,Office Supplies,Art,101.55,6.11,2.0,South,Corporate,2023,3,1,Wednesday,2023-03,6.02
ORD_1060,2022-12-23,Office Supplies,Labels,952.21,88.84,2.0,North,Corporate,2022,12,4,Friday,2022-12,9.33
ORD_1061,2023-10-21,Office Supplies,Labels,1774.49,204.46,2.0,West,Consumer,2023,10,4,Saturday,2023-10,11.52
ORD_1062,2022-09-15,Furniture,Chairs,334.24,22.61,3.0,East,Home Office,2022,9,3,Thursday,2022-09,6.76
ORD_1063,2023-03-03,Office Supplies,Storage,1290.14,212.31,3.0,East,Home Office,2023,3,1,Friday,2023-03,16.46
ORD_1064,2023-02-01,Furniture,Chairs,1306.45,132.83,1.0,South,Home Office,2023,2,1,Wednesday,2023-02,10.17
ORD_1065,2022-03-31,Office Supplies,Binders,87.54,17.91,3.0,South,Consumer,2022,3,1,Thursday,2022-03,20.46
ORD_1066,2022-07-15,Office Supplies,Binders,56.31,14.28,1.0,West,Consumer,2022,7,3,Friday,2022-07,25.36
ORD_1067,2022-10-04,Office Supplies,Labels,1873.93,112.05,1.0,East,Consumer,2022,10,4,Tuesday,2022-10,5.98
ORD_1068,2022-04-09,Office Supplies,Labels,1503.72,378.5,1.0,South,Corporate,2022,4,2,Saturday,2022-04,25.17
ORD_1069,2022-02-06,Furniture,Bookcases,1165.28,310.87,4.0,South,Consumer,2022,2,1,Sunday,2022-02,26.68
ORD_1070,2022-09-30,Technology,Phones,1482.42,162.41,2.0,East,Corporate,2022,9,3,Friday,2022-09,10.96
ORD_1071,2023-01-31,Furniture,Tables,602.29,45.17,4.0,East,Consumer,2023,1,1,Tuesday,2023-01,7.5
ORD_1072,2023-01-19,Technology,Copiers,716.26,207.14,3.0,South,Home Office,2023,1,1,Thursday,2023-01,28.92
ORD_1073,2023-04-14,Office Supplies,Labels,192.49,38.62,4.0,South,Consumer,2023,4,2,Friday,2023-04,20.06
ORD_1074,2022-07-05,Technology,Copiers,1581.34,115.12,2.0,North,Corporate,2022,7,3,Tuesday,2022-07,7.28
ORD_1075,2023-10-20,Technology,Computers,888.65,241.65,3.0,North,Consumer,2023,10,4,Friday,2023-10,27.19
ORD_1076,2022-06-23,Office Supplies,Binders,1240.25,93.37,3.0,East,Corporate,2022,6,2,Thursday,2022-06,7.53
ORD_1077,2022-06-14,Furniture,Tables,1784.87,154.66,1.0,West,Home Office,2022,6,2,Tuesday,2022-06,8.67
ORD_1078,2022-08-05,Furniture,Chairs,1761.92,192.35,3.0,East,Corporate,2022,8,3,Friday,2022-08,10.92
ORD_1079,2023-12-15,Technology,Accessories,1556.52,295.12,3.0,West,Home Office,2023,12,4,Friday,2023-12,18.96
ORD_1080,2023-09-30,Technology,Computers,990.32,52.33,4.0,West,Consumer,2023,9,3,Saturday,2023-09,5.28
ORD_1081,2022-07-09,Technology,Phones,1490.98,328.4,4.0,East,Home Office,2022,7,3,Saturday,2022-07,22.03
ORD_1082,2022-02-27,Furniture,Chairs,1738.51,184.11,2.0,South,Consumer,2022,2,1,Sunday,2022-02,10.59
ORD_1083,2022-07-22,Furniture,Chairs,652.15,39.68,1.0,South,Consumer,2022,7,3,Friday,2022-07,6.08
ORD_1084,2022-11-01,Technology,Accessories,1938.91,350.51,1.0,West,Home Office,2022,11,4,Tuesday,2022-11,18.08
ORD_1085,2023-04-16,Technology,Phones,1258.84,246.83,4.0,East,Home Office,2023,4,2,Sunday,2023-04,19.61
ORD_1086,2022-12-14,Office Supplies,Art,222.44,29.79,2.0,South,Corporate,2022,12,4,Wednesday,2022-12,13.39
ORD_1087,2023-12-05,Office Supplies,Art,1171.48,81.34,1.0,North,Corporate,2023,12,4,Tuesday,2023-12,6.94
ORD_1088,2023-07-12,Technology,Phones,566.73,86.6,1.0,North,Consumer,2023,7,3,Wednesday,2023-07,15.28
ORD_1089,2023-03-26,Office Supplies,Binders,839.11,163.87,1.0,West,Corporate,2023,3,1,Sunday,2023-03,19.53
ORD_1090,2023-01-09,Office Supplies,Storage,99.99,5.66,1.0,East,Corporate,2023,1,1,Monday,2023-01,5.66
ORD_1091,2023-11-20,Technology,Phones,759.71,180.35,1.0,East,Consumer,2023,11,4,Monday,2023-11,23.74
ORD_1092,2023-06-02,Office Supplies,Paper,835.49,98.88,4.0,South,Consumer,2023,6,2,Friday,2023-06,11.83
ORD_1093,2023-07-19,Furniture,Bookcases,1502.32,418.08,3.0,East,Corporate,2023,7,3,Wednesday,2023-07,27.83
ORD_1094,2022-01-01,Office Supplies,Storage,502.22,81.68,2.0,North,Consumer,2022,1,1,Saturday,2022-01,16.26
ORD_1095,2022-02-03,Furniture,Furnishings,465.0,101.34,4.0,South,Home Office,2022,2,1,Thursday,2022-02,21.79
ORD_1096,2022-11-02,Technology,Computers,1001.35,169.28,3.0,South,Consumer,2022,11,4,Wednesday,2022-11,16.91
ORD_1097,2023-02-05,Office Supplies,Art,1126.27,303.15,1.0,South,Home Office,2023,2,1,Sunday,2023-02,26.92
ORD_1098,2022-03-16,Technology,Accessories,1512.72,310.23,2.0,North,Home Office,2022,3,1,Wednesday,2022-03,20.51
ORD_1099,2022-12-01,Office Supplies,Art,1961.12,396.19,2.0,North,Home Office,2022,12,4,Thursday,2022-12,20.2
ORD_1100,2022-12-01,Technology,Computers,703.03,125.49,4.0,South,Corporate,2022,12,4,Thursday,2022-12,17.85
ORD_1101,2022-05-18,Technology,Computers,1726.1,496.05,4.0,South,Consumer,2022,5,2,Wednesday,2022-05,28.74
ORD_1102,2022-02-22,Office Supplies,Paper,523.91,86.33,2.0,West,Consumer,2022,2,1,Tuesday,2022-02,16.48
ORD_1103,2023-10-25,Office Supplies,Storage,1163.5,157.53,3.0,North,Home Office,2023,10,4,Wednesday,2023-10,13.54
ORD_1104,2023-11-27,Technology,Computers,1398.36,132.87,4.0,East,Home Office,2023,11,4,Monday,2023-11,9.5
ORD_1105,2022-02-20,Technology,Accessories,1338.44,124.58,2.0,North,Consumer,2022,2,1,Sunday,2022-02,9.31
ORD_1106,2023-05-28,Furniture,Tables,564.39,53.2,1.0,East,Consumer,2023,5,2,Sunday,2023-05,9.43
ORD_1107,2022-03-14,Office Supplies,Binders,266.21,35.28,3.0,West,Consumer,2022,3,1,Monday,2022-03,13.25
ORD_1108,2022-02-17,Technology,Phones,1378.69,245.29,3.0,East,Consumer,2022,2,1,Thursday,2022-02,17.79
ORD_1109,2023-11-23,Office Supplies,Art,1614.34,382.7,1.0,North,Home Office,2023,11,4,Thursday,2023-11,23.71
ORD_1110,2022-03-19,Technology,Copiers,974.2,199.29,3.0,South,Corporate,2022,3,1,Saturday,2022-03,20.46
ORD_1111,2022-01-03,Furniture,Tables,83.0,9.39,3.0,North,Home Office,2022,1,1,Monday,2022-01,11.31
